Year,Core activity need for assistance,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT ,Aust.(b)(c) 
2021,Has need for assistance with core activities,"1,459","1,731","1,324",418,489,156,496,69,"6,136"
2021,Does not have need for assistance with core activities,"26,317","20,700","17,311","5,559","5,859","1,764","10,643","1,308","89,463"
2021,Not stated,"7,241","8,230","3,790","1,449","3,387",426,"1,966",400,"26,890"
2016,Has need for assistance with core activities,"1,876","1,371","1,157",317,333,108,462,99,"5,737"
2016,Does not have need for assistance with core activities,"29,814","18,478","17,066","4,887","7,053","1,293","11,065","1,139","90,852"
2016,Not stated,"6,024","4,967","3,445","1,017","1,617",211,"2,191",356,"19,837"
2011,Has need for assistance with core activities,"1,447","1,188","1,031",312,380,110,599,146,"5,214"
2011,Does not have need for assistance with core activities,"22,020","17,101","15,830","4,666","7,685","1,217","13,512","1,297","83,331"
2011,Not stated,"4,015","4,016","2,177",837,"1,122",210,"1,215",297,"13,889"
2006,Has need for assistance with core activities,"1,360",923,799,298,323,63,412,57,"4,231"
2006,Does not have need for assistance with core activities,"17,927","13,417","15,565","4,582","6,868",968,"12,896",789,"73,017"
2006,Not stated,"2,934","3,072","2,491",716,"1,087",112,"1,959",107,"12,479"
