Year,Homeless operational groups(d),NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT ,Aust.(b)(c) 
2021,"People living in improvised dwellings, tents, or sleeping out",963,"1,023","2,050",323,"2,315",231,662,59,"7,636"
2021,People in supported accommodation for the homeless(e) ,"5,043","7,831","4,137","2,501","1,614",531,"1,769",862,"24,291"
2021,People staying temporarily with other households(f),"4,100","2,549","4,968","1,337","2,125",588,653,269,"16,597"
2021,People living in boarding houses(g),"8,842","8,599","2,946",658,631,261,62,138,"22,137"
2021,People in other temporary lodgings(g),"1,427","1,583",485,257,107,29,44,6,"3,934"
2021,People living in 'severely' crowded dwellings(h),"14,640","9,068","7,839","2,352","2,935",709,"9,904",447,"47,895"
2016,"People living in improvised dwellings, tents, or sleeping out","2,588","1,123","1,736",387,"1,083",139,"1,097",54,"8,200"
2016,People in supported accommodation for the homeless(e) ,"5,861","7,157","3,722","1,433","1,054",574,636,793,"21,235"
2016,People staying temporarily with other households(f),"5,350","3,091","4,796","1,323","1,950",479,415,275,"17,725"
2016,People living in boarding houses(g),"6,869","4,406","3,600",906,991,139,486,97,"17,503"
2016,People in other temporary lodgings(g),222,108,211,31,51,25,18,3,678
2016,People living in 'severely' crowded dwellings(h),"16,821","8,930","7,601","2,140","3,871",267,"11,065",370,"51,088"
2011,"People living in improvised dwellings, tents, or sleeping out","1,924","1,090","1,584",258,929,156,848,28,"6,810"
2011,People in supported accommodation for the homeless(e) ,"4,924","7,840","3,787","1,620",931,479,566,"1,103","21,258"
2011,People staying temporarily with other households(f),"4,937","3,323","4,311","1,390","2,170",501,428,319,"17,374"
2011,People living in boarding houses(g),"5,793","3,933","2,987",808,936,189,295,6,"14,944"
2011,People in other temporary lodgings(g),244,95,196,27,75,21,20,3,682
2011,People living in 'severely' crowded dwellings(h),"9,655","6,022","6,187","1,714","4,153",183,"13,170",278,"41,370"
2006,"People living in improvised dwellings, tents, or sleeping out","1,601",787,"2,024",440,"1,018",116,"1,209",50,"7,252"
2006,People in supported accommodation for the homeless(e) ,"3,866","6,928","3,063","1,475","1,090",229,223,466,"17,334"
2006,People staying temporarily with other households(f),"4,758","3,227","4,991","1,330","2,106",495,445,314,"17,661"
2006,People living in boarding houses(g),"5,939","3,047","3,747",977,"1,022",143,544,35,"15,459"
2006,People in other temporary lodgings(g),150,68,153,31,64,9,13,6,501
2006,People living in 'severely' crowded dwellings(h),"5,898","3,348","4,872","1,364","2,978",159,"12,826",76,"31,527"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
