Year,Indigenous status,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT ,Aust.(b)(c) 
2021,Aboriginal and/or Torres Strait Islander(i),"2,508","1,109","4,769","1,391","3,378",247,"11,394",126,"24,930"
2021,Non-Indigenous,"27,816","23,671","15,396","5,040","5,456","1,830","1,046","1,308","81,566"
2021,Not stated,"4,687","5,882","2,260",997,904,278,660,339,"15,991"
2016,Aboriginal and/or Torres Strait Islander(i),"2,278",783,"4,450",936,"2,618",130,"12,131",95,"23,437"
2016,Non-Indigenous,"31,327","20,310","14,846","4,643","5,794","1,363","1,239","1,197","80,769"
2016,Not stated,"4,102","3,725","2,384",645,585,126,346,302,"12,217"
2011,Aboriginal and/or Torres Strait Islander(i),"2,205",828,"4,819","1,091","3,379",167,"13,978",261,"26,718"
2011,Non-Indigenous,"23,012","18,843","12,961","4,222","5,454","1,269","1,043","1,267","68,070"
2011,Not stated,"2,265","2,636","1,261",506,361,96,311,215,"7,651"
2006,Aboriginal and/or Torres Strait Islander(i),"1,885",639,"4,779","1,256","3,312",93,"13,921",72,"25,955"
2006,Non-Indigenous,"18,567","14,486","12,807","3,937","4,573",982,"1,161",809,"57,321"
2006,Not stated,"1,770","2,283","1,278",409,395,66,187,67,"6,453"
