State,Year,N_housed,Return ratio,Share_Family_Domestic_Violence,Share_Financial ,Share_Housing,Share_Employment,Share_Others,ShortTerm_Accomdation_Coverage,ShortTerm_Financial_Assistance_Coverage
NSW,2023-24,4183,10.8,0.067612156,0.169021675,0.181078881,0.028140259,0.554147029,0.044887546,0.003121738
Vic,2023-24,4981,11.3,0.087384935,0.177907254,0.157909931,0.028881557,0.547916323,0.056075699,0.027241008
Qld,2023-24,2698,9.2,0.051421508,0.197978822,0.18509734,0.026189595,0.539312736,0.119611123,0.020521505
WA,2023-24,1275,11,0.089670246,0.153167073,0.123992798,0.037585184,0.595584699,0.092505327,0.004127614
SA,2023-24,1072,10.8,0.056917654,0.100761147,0.318407468,0.028174965,0.495738768,0.036418019,0.005709577
Tas,2023-24,608,12.8,0.035311791,0.133990787,0.18537859,0.016669161,0.62864967,0.106129597,0.010288967
ACT,2023-24,306,12.6,0.054708223,0.166728835,0.155876989,0.035062997,0.587622955,0.078310329,0.007997981
NT,2023-24,461,8.5,0.095943979,0.166839258,0.158265202,0.029647117,0.549304444,0.073905541,0.004344968
NSW,2022-23,4217,11.3,0.067108205,0.154545177,0.180834491,0.027906603,0.569605523,0.045245277,0.003848164
Vic,2022-23,5138,11.9,0.084269861,0.17407995,0.163730942,0.031196625,0.546722621,0.059961035,0.029882287
Qld,2022-23,2600,9.5,0.051139537,0.180498962,0.193265304,0.025965683,0.549130514,0.124038139,0.017452615
WA,2022-23,1208,10.9,0.090865308,0.137785805,0.128116669,0.037280847,0.605951372,0.09706371,0.004359701
SA,2022-23,1185,11.6,0.058115596,0.089003188,0.325897184,0.027080952,0.499903079,0.035484328,0.005852886
Tas,2022-23,576,12.1,0.034363103,0.118439156,0.184507595,0.015095674,0.647594472,0.09979337,0.013256308
ACT,2022-23,265,11,0.055540668,0.153119911,0.150859255,0.032233239,0.608246927,0.080349828,0.011622811
NT,2022-23,449,11.2,0.098563296,0.117739999,0.143894977,0.034000697,0.60580103,0.084194071,0.004075708
NSW,2021-22,4196,11.7,0.066473781,0.151093655,0.173272849,0.030551501,0.578608214,0.040212543,0.003642376
Vic,2021-22,5262,12.3,0.083256957,0.163738937,0.153895477,0.029834697,0.569273931,0.070532641,0.038557861
Qld,2021-22,2687,11,0.051500061,0.174328733,0.195589986,0.028832241,0.54974898,0.120654169,0.010110432
WA,2021-22,1199,10.8,0.0879582,0.13323913,0.137460598,0.035654972,0.605687101,0.103427353,0.006411186
SA,2021-22,1290,13.6,0.057350554,0.096605311,0.312922609,0.031229064,0.501892461,0.036137249,0.006173071
Tas,2021-22,582,12,0.031351246,0.126508901,0.189401369,0.015803985,0.636934499,0.0921267,0.015085532
ACT,2021-22,257,10.6,0.055723468,0.14925465,0.147339989,0.036959792,0.610722101,0.087127291,0.01575302
NT,2021-22,455,12.1,0.09552796,0.114844574,0.148910581,0.034316872,0.606400012,0.072042331,0.004518742
